,Restuarantid,Restaurant,Restaurant_Type,Price_for_two,Cuisine,Location,Area,Link,Timing,Dining_Review_Count,Dining_Rating,Delivery_Rating,Delivery_Review_Count,Price per Person,Rating Category,Total Review Count,Popularity score,price range category
12,13,Jook Taproom,"North Indian, South Indian, Chinese, Pizza, Fast Food, Biryani, Asian, Bar Food",1600,North Indian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/jook-taproom-indiranagar-bangalore/info,12noon – 12midnight (Today),2289,4.4,3.6,67,800,Good,2356,10367.4,Medium
13,14,Long Boat Brewing Co.,"Asian, Chinese, North Indian, Pizza, South Indian, Continental",2600,Asian," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/long-boat-brewing-co-marathahalli-bangalore/info,"12midnight – 1:30am, 12noon – 12midnight (Today)",7426,4.3,4.1,2250,1300,Good,9676,41607.8,High
14,15,Scottish Pub,"Asian, Chinese, Burger, North Indian, Continental, Bar Food, Cafe, Pasta",1000,Asian," St. Marks Road, Bangalore",St. Marks Road,https://www.zomato.com/bangalore/scottish-pub-st-marks-road/info,12noon – 12midnight (Today),505,4.4,0.0,0,500,Good,505,2223.0,Low
15,16,Oia,"Continental, Asian, Seafood, Salad, Pizza, North Indian, Desserts",2500,Continental," Hennur, Bangalore",Hennur,https://www.zomato.com/bangalore/oia-3-hennur-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",8503,4.2,0.0,0,1250,Good,8503,35713.6,High
16,17,Mannheim Craft Brewery,"South Indian, North Indian, Continental, Desserts, Asian",1500,South Indian," Garuda Mall, Magrath Road, Bangalore",Garuda Mall,https://www.zomato.com/bangalore/mannheim-craft-brewery-brigade-road-bangalore/info,12noon – 11pm (Today),346,4.4,0.0,0,750,Good,346,1523.4,Medium
17,18,Nusa,"North Indian, Asian, Continental, European, South Indian, Indonesian, Bar Food, Finger Food",1500,North Indian," Varthur Main Road, Whitefield, Bangalore",Varthur Main Road,https://www.zomato.com/bangalore/nusa-varthur-main-road-whitefield-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",3773,3.9,0.0,0,750,Average,3773,14715.7,Medium
18,19,SkyDeck By Sherlock's,"Continental, Chinese, Finger Food, North Indian, Fast Food, Beverages, Desserts",1800,Continental," MG Road, Bangalore",MG Road,https://www.zomato.com/bangalore/skydeck-by-sherlocks-mg-road-bangalore/info,11:30am – 1am (Today),4494,4.2,0.0,0,900,Good,4494,18875.8,Medium
19,20,Ironhill Bengaluru,"North Indian, Continental, Asian, Pizza, Fast Food, Biryani, Beverages, Desserts",2000,North Indian," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/ironhill-bengaluru-marathahalli-bangalore/info,12noon – 1am (Today),32600,4.5,4.2,151,1000,Excellent,32751,147380.5,Medium
20,21,Citrus - The Leela Palace,"North Indian, Continental, Asian, Desserts",4700,North Indian," The Leela Palace, Old Airport Road, Bangalore",The Leela Palace,https://www.zomato.com/bangalore/citrus-the-leela-palace-airport-road/info,"9am – 10am, 12:30pm – 11:30pm (Today)",1060,4.0,4.2,142,2350,Good,1202,4809.0,High
21,22,Absolute Shawarma,"Shawarma, Fast Food, Burger, Pizza, Wraps, Momos, Waffle, Shake",300,Shawarma," Chanapatna, Bangalore",Chanapatna,https://www.zomato.com/bangalore/absolute-shawarma-chanapatna-bangalore/info,Not Provided,0,0.0,0.0,0,150,Below Average,0,1.0,Low
22,23,Geometry Brewery & Kitchen,"Chinese, North Indian, Italian, Continental, Pizza, Desserts, Beverages",1800,Chinese," Malleshwaram, Bangalore",Malleshwaram,https://www.zomato.com/bangalore/geometry-brewery-kitchen-malleshwaram-bangalore/info,11:30am – 1am (Today),3561,4.3,4.0,44,900,Good,3605,15502.5,Medium
23,24,Roxie,"Continental, Asian, North Indian, European, American, Italian, Pizza, Beverages",2600,Continental," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/roxie-sarjapur-road-bangalore/info,12noon – 1am (Today),10900,4.6,4.3,73,1300,Excellent,10973,50476.8,High
24,25,The Terrace at Gilly's Redefined,"Continental, Finger Food, Chinese, North Indian, Italian, Beverages, Desserts",2000,Continental," Gilly's Redefined, Koramangala 4th Block, Bangalore",Gilly's Redefined,https://www.zomato.com/bangalore/the-terrace-at-gillys-redefined-koramangala-4th-block/info,12noon – 12:30am (Today),4632,4.4,4.0,6,1000,Good,4638,20408.2,Medium
25,26,Prime Golf - Brewing & Golfing,"Modern Indian, Beverages",2000,Modern Indian," Seegehalli, Bangalore",Seegehalli,https://www.zomato.com/bangalore/prime-golf-brewing-golfing-seegehalli-bangalore/info,12noon – 12midnight (Today),1168,4.3,0.0,0,1000,Good,1168,5023.4,Medium
26,27,KLING,"Continental, European, Asian, Chinese, North Indian, South Indian, Seafood",1500,Continental," Church Street, Bangalore",Church Street,https://www.zomato.com/bangalore/kling-church-street-bangalore/info,12noon – 1am (Today),217,4.2,0.0,0,750,Good,217,912.4,Medium
27,28,Byg Brewski Brewing Company,"Continental, North Indian, Asian, Fast Food, Pizza, Pasta, Burger, Desserts",2000,Continental," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/byg-brewski-brewing-company-sarjapur-road-bangalore/info,12noon – 1am (Today),38100,4.6,4.2,27100,1000,Excellent,65200,299921.0,Medium
28,29,Toca Brigade,"Chinese, Fast Food, Steak, Pasta, Asian, Biryani, Desserts",1200,Chinese," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/bangalore/toca-brigade-brigade-road-bangalore/info,11am – 12midnight (Today),56,4.1,0.0,0,600,Good,56,230.6,Medium
29,30,Phurr,"North Indian, Continental",2000,North Indian," Jayanagar, Bangalore",Jayanagar,https://www.zomato.com/bangalore/phurr-jayanagar-bangalore/info,"12noon – 4pm, 7pm – 11pm (Today)",2136,4.4,0.0,0,1000,Good,2136,9399.4,Medium
30,31,Boho,"Continental, Asian, American, Mexican, Beverages, Desserts, Korean, Italian",2000,Continental," Building 105, Koramangala 5th Block, Bangalore",Building 105,https://www.zomato.com/bangalore/boho-koramangala-5th-block/info,12noon – 12midnight (Today),3621,4.1,2.7,17,1000,Good,3638,14916.8,Medium
31,32,Bastian,"Continental, Greek",2000,Continental," St. Marks Road, Bangalore",St. Marks Road,https://www.zomato.com/bangalore/bastian-st-marks-road-bangalore/info,"12midnight – 12:30am, 12noon – 4pm, 7pm – 12midnight (Today)",143,0.0,0.0,0,1000,Below Average,143,1.0,Medium
32,33,Moglu - The Edgy Veggie Restaurant,"Bakery, Modern Indian, Desserts, Beverages, American, Coffee, Sandwich, Pasta",1800,Bakery," St. Marks Road, Bangalore",St. Marks Road,https://www.zomato.com/bangalore/moglu-the-edgy-veggie-restaurant-st-marks-road-bangalore/info,11:30am – 11:30pm (Today),128,3.9,0.0,0,900,Average,128,500.2,Medium
33,34,Magique,"Asian, Modern Indian, Continental, Italian, North Indian, Sushi, Desserts, Beverages",1700,Asian," Koramangala 6th Block, Bangalore",Koramangala 6th Block,https://www.zomato.com/bangalore/magique-koramangala-6th-block-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",4309,4.1,4.0,10,850,Good,4319,17708.9,Medium
34,35,Ambedo Kitchen|Taproom,"Continental, Asian, North Indian, Italian, Pizza, Sushi",1500,Continental," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/ambedo-kitchen-taproom-jp-nagar-bangalore/info,12noon – 12midnight (Today),556,4.5,4.0,10,750,Excellent,566,2548.0,Medium
35,36,BLR Brewing Co,"North Indian, Continental, Chinese, Italian, BBQ, Bar Food, Desserts",1500,North Indian," Whitefield, Bangalore",Whitefield,https://www.zomato.com/bangalore/blr-brewing-co-1-whitefield-bangalore/info,12noon – 12midnight (Today),5059,4.4,0.0,0,750,Good,5059,22260.6,Medium
36,37,Bhangra Bistro,"North Indian, Mughlai, Desserts",1000,North Indian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/bhangra-bistro-indiranagar-bangalore/info,"12noon – 4pm, 7pm – 12midnight (Today)",148,4.5,0.0,3,500,Excellent,151,680.5,Low
37,38,Secret Story,"Continental, Asian, North Indian, Fast Food, Desserts, Beverages, Vietnamese, Italian",1500,Continental," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/secret-story-indiranagar-bangalore/info,12noon – 1am (Today),3964,3.9,0.0,0,750,Average,3964,15460.6,Medium
38,39,Down Town Diner,"Cafe, Coffee, Fast Food, Pizza, Burger, Sandwich, Desserts, Beverages",750,Cafe," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/bangalore/down-town-diner-brigade-road-bangalore/info,12noon – 12midnight (Today),291,4.5,0.0,0,375,Excellent,291,1310.5,Low
39,40,The Bier Library,"North Indian, Pizza, European, American, Bar Food, Oriental, Desserts, BBQ",1800,North Indian," Koramangala 6th Block, Bangalore",Koramangala 6th Block,https://www.zomato.com/bangalore/the-bier-library-koramangala-6th-block-bangalore/info,12noon – 1am (Today),14500,4.5,4.6,716,900,Excellent,15216,68473.0,Medium
40,41,Swwing,"Seafood, Modern Indian",2500,Seafood," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/swwing-indiranagar-bangalore/info,7pm – 11pm (Today),95,4.0,0.0,0,1250,Good,95,381.0,High
41,42,Uru Brewpark,"Continental, North Indian, Italian, Chinese, Asian, Pizza, Lebanese, Beverages",2200,Continental," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/uru-brewpark-jp-nagar-bangalore/info,10:30am – 1am (Today),1700,4.3,4.2,4286,1100,Good,21286,91530.8,High
42,43,The Bangalore Cafe,"North Indian, Italian, Continental, Biryani, Chinese, Desserts",950,North Indian," Shanti Nagar, Bangalore",Shanti Nagar,https://www.zomato.com/bangalore/the-bangalore-cafe-1-shanti-nagar-bangalore/info,12noon – 1am (Today),4357,4.2,4.0,2248,475,Good,6605,27742.0,Low
43,44,Neo Kitchen - Hilton Embassy Manyata Business Park,"Asian, Continental, Italian, South Indian, North Indian, Biryani, Desserts, Beverages",3100,Asian," Hilton Bengaluru Embassy Manyata Business Park, Bangalore",Hilton Bengaluru Embassy Manyata Business Park,https://www.zomato.com/bangalore/neo-kitchen-hilton-embassy-manyata-business-park-nagawara-bangalore/info,24 Hours (Today),244,4.2,0.0,0,1550,Good,244,1025.8,High
44,45,Fia's Lounge,"Parsi, Lebanese, Beverages",1500,Parsi," Richmond Road, Bangalore",Richmond Road,https://www.zomato.com/bangalore/fias-lounge-richmond-road-bangalore/info,11am – 11pm (Today),137,4.5,0.0,0,750,Excellent,137,617.5,Medium
45,46,Candles  Brewhouse,"Italian, Continental, American, Pizza, North Indian",2500,Italian," RMZ Azure, Bangalore",RMZ Azure,https://www.zomato.com/bangalore/candles-brewhouse-hebbal-bangalore/info,12noon – 12midnight (Today),4968,4.3,4.0,19,1250,Good,4987,21445.1,High
46,47,Smoke House Deli,"Continental, Italian, BBQ, Fast Food, Ice Cream, Salad, Desserts, Beverages",1800,Continental," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/SmokeHouseDeli-Indiranagar/info,10am – 1am (Today),6584,4.5,4.3,3470,900,Excellent,10054,45244.0,Medium
47,48,One8 Commune,"North Indian, Chinese, Pasta, Sushi, Continental, Desserts, Beverages",3000,North Indian," Lavelle Road, Bangalore",Lavelle Road,https://www.zomato.com/bangalore/one8-commune-lavelle-road-bangalore/info,12:30pm – 1am (Today),512,3.9,0.0,0,1500,Average,512,1997.8,High
48,49,21st Amendment Gastrobar,"North Indian, Fast Food, Chinese, Bar Food, Sichuan, Beverages",1700,North Indian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/21st-amendment-gastrobar-indiranagar-bangalore/info,12noon – 12midnight (Today),4902,4.3,3.4,42,850,Good,4944,21260.2,Medium
49,50,Hoot,"Continental, Italian, North Indian, Beverages",2000,Continental," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/hoot-sarjapur-road/info,12noon – 12:30am (Today),13500,4.2,3.7,500,1000,Good,14000,58801.0,Medium
50,51,Maffei Kitchen,"Lebanese, Greek, Moroccan, Desserts, Beverages",1700,Lebanese," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/maffei-kitchen-1-koramangala-5th-block-bangalore/info,12noon – 11:30pm (Today),674,4.7,4.0,435,850,Excellent,1109,5213.3,Medium
51,52,Muro,"Thai, Cantonese",3000,Thai," Church Street, Bangalore",Church Street,https://www.zomato.com/bangalore/muro-church-street-bangalore/info,"12midnight – 1am, 12noon – 11:45pm (Today)",292,4.1,0.0,0,1500,Good,292,1198.2,High
52,53,No Limmits Lounge And Club,"Chinese, Continental, North Indian, Fast Food, Pizza, Beverages",2500,Chinese," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/bangalore/no-limmits-lounge-and-club-brigade-road-bangalore/info,11am – 1am (Today),4522,3.8,0.0,0,1250,Average,4522,17184.6,High
53,54,Mykos Craft Kitchen & Bar,"Continental, Greek, Asian, Mediterranean, North Indian",1600,Continental," Bannerghatta Road, Bangalore",Bannerghatta Road,https://www.zomato.com/bangalore/mykos-craft-kitchen-bar-bannerghatta-road-bangalore/info,12noon – 12midnight (Today),2273,4.3,0.0,0,800,Good,2273,9774.9,Medium
54,55,Terrace By House Of Commons,"Modern Indian, Continental, Asian, Chinese, North Indian, Seafood, Bar Food, Beverages",2000,Modern Indian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/terrace-by-house-of-commons-jp-nagar-bangalore/info,11am – 1am (Today),3966,4.6,0.0,0,1000,Excellent,3966,18244.6,Medium
55,56,Sky Garden,"Continental, North Indian, Pizza, Asian, Pasta, Chinese, Desserts, Beverages",2000,Continental," Whitefield, Bangalore",Whitefield,https://www.zomato.com/bangalore/sky-garden-whitefield-bangalore/info,11am – 12midnight (Today),4459,4.1,3.7,71,1000,Good,4530,18574.0,Medium
56,57,Ministry of Food - Hilton Bangalore Embassy GolfLinks,"Asian, Continental, Italian, North Indian, Mughlai, Desserts, Beverages",3500,Asian," Hilton Bangalore Embassy GolfLinks, Domlur, Bangalore",Hilton Bangalore Embassy GolfLinks,https://www.zomato.com/bangalore/ministry-of-food-hilton-bangalore-embassy-golflinks-domlur-bangalore/info,7am – 11pm (Today),1261,3.9,4.3,222,1750,Average,1483,5784.7,High
57,58,Biergarten,"Continental, European, BBQ, Chinese, Asian, Beverages",2500,Continental," Bellandur, Bangalore",Bellandur,https://www.zomato.com/bangalore/biergarten-bellandur-bangalore/info,12noon – 12midnight (Today),794,4.3,0.0,0,1250,Good,794,3415.2,High
58,59,Kappa Chakka Kandhari,"Kerala, South Indian, Desserts, Beverages",1800,Kerala," Koramangala 6th Block, Bangalore",Koramangala 6th Block,https://www.zomato.com/bangalore/kappa-chakka-kandhari-koramangala-6th-block-bangalore/info,Opens tomorrow at 12noon,715,4.3,0.0,0,900,Good,715,3075.5,Medium
59,60,High Ultra Lounge - Sheraton Grand Bangalore Hotel,"North Indian, Continental, Finger Food, Desserts",3600,North Indian," Sheraton Grand Bangalore, Brigade Gateway, Bangalore",Sheraton Grand Bangalore,https://www.zomato.com/bangalore/high-ultra-lounge-sheraton-grand-bangalore-hotel-malleshwaram-bangalore/info,4pm – 1am (Today),6687,4.3,0.0,0,1800,Good,6687,28755.1,High
60,61,Three Dots & A Dash,"Bar Food, North Indian, Chinese, Continental, Italian, Fast Food, Desserts, Beverages",1800,Bar Food," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/three-dots-a-dash-indiranagar-bangalore/info,12noon – 12midnight (Today),6641,4.0,0.0,1,900,Good,6642,26569.0,Medium
61,62,Aurum Brew Works,"North Indian, Continental, Asian, Beverages, Desserts",1500,North Indian," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/aurum-brew-works-sarjapur-road-bangalore/info,12noon – 12:30am (Today),6180,4.3,4.0,1721,750,Good,7901,33975.3,Medium
62,63,Shokudo,"Japanese, Thai, Chinese, Asian, Sushi, Desserts, Beverages, Korean",1500,Japanese," Jayanagar, Bangalore",Jayanagar,https://www.zomato.com/bangalore/shokudo-jayanagar-bangalore/info,12noon – 11pm (Today),372,4.0,3.6,220,750,Good,592,2369.0,Medium
63,64,Stories Brewery & Kitchen,"North Indian, Continental, Chinese, Finger Food, Beverages, Desserts",1600,North Indian," BTM, Bangalore",BTM,https://www.zomato.com/bangalore/stories-brewery-kitchen-btm-bangalore/info,12noon – 1am (Today),12100,4.4,4.2,508,800,Good,12608,55476.2,Medium
64,65,Zen - The Leela Palace,"Thai, Japanese, Chinese, Rolls",3500,Thai," The Leela Palace, Old Airport Road, Bangalore",The Leela Palace,https://www.zomato.com/bangalore/zen-the-leela-palace-airport-road/info,Opens tomorrow at 12noon,350,4.1,0.0,0,1750,Good,350,1436.0,High
65,66,Macaw By Stories,"South Indian, North Indian, Chinese, Pasta, Pizza, Fast Food, Salad, Desserts",1800,South Indian," Bommanahalli, Bangalore",Bommanahalli,https://www.zomato.com/bangalore/macaw-by-stories-bommanahalli-bangalore/info,12noon – 1am (Today),2907,4.2,3.8,31,900,Good,2938,12340.6,Medium
66,67,Ganbeii,"Kerala, Continental, Asian, Pizza, Pasta, Burger, North Indian",1000,Kerala," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/ganbeii-koramangala-5th-block-bangalore/info,11am – 12midnight (Today),210,4.4,0.0,1,500,Good,211,929.4,Low
67,68,Sarjapur SOCIAL,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Desserts, Beverages",1500,North Indian," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/SarjapurSocial/info,10am – 1am (Today),4743,4.4,3.9,3600,750,Good,8343,36710.2,Medium
68,69,Bamey's Gastro Bar,"Nepalese, Chinese, North Indian, Momos, Bar Food, Asian, Desserts, Tibetan",1000,Nepalese," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/bameys-gastro-bar-1-koramangala-5th-block-bangalore/info,12:30pm – 12midnight (Today),341,4.3,0.0,0,500,Good,341,1467.3,Low
69,70,Toit,"Italian, American, European, Continental, Desserts",2500,Italian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/toit-indiranagar/info,8:30am – 1am (Today),16500,4.9,4.4,1073,1250,Excellent,17573,86108.7,High
70,71,By Chance,"Italian, Continental",1500,Italian," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/bangalore/by-chance-1-brigade-road-bangalore/info,12noon – 1am (Today),77,4.2,0.0,0,750,Good,77,324.4,Medium
71,72,Bramble,"Continental, Asian, North Indian, Italian, Bar Food, Beverages",1800,Continental," Jayanagar, Bangalore",Jayanagar,https://www.zomato.com/bangalore/bramble-jayanagar-bangalore/info,12noon – 1am (Today),3660,4.4,0.0,4,900,Good,3664,16122.6,Medium
72,73,1131 Bar + Kitchen By House Of Commons,"Finger Food, North Indian, Continental, Chinese, Italian, Asian, Desserts, Beverages",2200,Finger Food," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/1131-bar-kitchen-by-house-of-commons-indiranagar-bangalore/info,10:30am – 1am (Today),11400,4.5,4.1,411,1100,Excellent,11811,53150.5,High
73,74,Feast - Sheraton Grand Bangalore Hotel at Brigade Gateway,"North Indian, Continental, Fast Food, Asian, Beverages",3500,North Indian," Sheraton Grand Bangalore, Brigade Gateway, Bangalore",Sheraton Grand Bangalore,https://www.zomato.com/bangalore/feast-sheraton-grand-bangalore-hotel-at-brigade-gateway-malleshwaram-bangalore/info,"6:30am – 10:30am, 12:30pm – 3:30pm, 7pm – 11pm (Today)",2485,4.5,3.7,114,1750,Excellent,2599,11696.5,High
74,75,K-OS TheGameBar,"Continental, Italian, North Indian, Finger Food, Asian, Fast Food",1700,Continental," Koramangala 7th Block, Bangalore",Koramangala 7th Block,https://www.zomato.com/bangalore/k-os-thegamebar-koramangala-7th-block-bangalore/info,12noon – 12midnight (Today),958,4.3,4.0,21,850,Good,979,4210.7,Medium
75,76,Indian Biere House,"Continental, Mediterranean, North Indian, Asian, Bar Food, Italian, Desserts, Beverages",2500,Continental," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/indian-biere-house-jp-nagar-bangalore/info,12noon – 12midnight (Today),5978,4.5,0.0,1,1250,Excellent,5979,26906.5,High
76,77,Mayuri,"Andhra, Biryani, North Indian, Chinese, Desserts",1200,Andhra," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/mayuri-1-jp-nagar-bangalore/info,"12noon – 4pm, 7pm – 11pm (Today)",2481,4.5,4.1,3317,600,Excellent,5798,26092.0,Medium
77,78,Pizza 4P's,Pizza,1000,Pizza," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/pizza-4ps-indiranagar-bangalore/info,12noon – 12midnight (Today),76,4.4,0.0,0,500,Good,76,335.4,Low
78,79,Chowman,"Chinese, Thai, Asian, Seafood, Sichuan, Desserts, Beverages",1400,Chinese," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/chowman-indiranagar-bangalore/info,"11am – 5pm, 5:45pm – 12midnight (Today)",3566,4.5,4.2,9019,700,Excellent,12585,56633.5,Medium
79,80,Taproom By Sherlock's,"North Indian, Oriental, Continental, Biryani, Pizza, Pasta, Desserts, Beverages",1800,North Indian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/taproom-by-sherlocks-jp-nagar-bangalore/info,12noon – 12midnight (Today),7523,4.3,3.0,106,900,Good,7629,32805.7,Medium
80,81,Nomad PizzaBar,"Pizza, Italian",1000,Pizza," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/nomad-pizzabar-indiranagar-bangalore/info,11am – 11pm (Today),659,4.5,0.0,1,500,Excellent,660,2971.0,Low
81,82,Red Rhino,"Continental, North Indian, Asian, Oriental, Mediterranean, Mangalorean, Beverages, Desserts",2000,Continental," Whitefield, Bangalore",Whitefield,https://www.zomato.com/bangalore/red-rhino-whitefield-bangalore/info,12noon – 12midnight (Today),10800,4.4,4.1,6899,1000,Good,17699,77876.6,Medium
82,83,Butterfly Brew Bite & Fly,"North Indian, Continental, Pizza, Italian, Asian, Desserts, Beverages",1500,North Indian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/butterfly-brew-bite-fly-jp-nagar-bangalore/info,12noon – 1am (Today),3489,4.2,0.0,0,750,Good,3489,14654.8,Medium
83,84,TYD,"Asian, European, Sushi, Continental, Italian, Mexican, Beverages, Desserts",1900,Asian," Hennur, Bangalore",Hennur,https://www.zomato.com/bangalore/tyd-1-hennur-bangalore/info,12noon – 11:45pm (Today),1364,4.4,3.9,76,950,Good,1440,6337.0,Medium
84,85,Raahi,"North Indian, Pasta, Pizza, Desserts, Beverages",2000,North Indian," St. Marks Road, Bangalore",St. Marks Road,https://www.zomato.com/bangalore/raahi-st-marks-road-bangalore/info,12noon – 11:30pm (Today),1728,4.2,4.4,261,1000,Good,1989,8354.8,Medium
85,86,Backstreet Brewery,"Italian, Bar Food, Pizza, North Indian, Asian, Desserts, Beverages",1800,Italian," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/backstreet-brewery-sarjapur-road-bangalore/info,"12midnight – 1am, 12:30pm – 12midnight (Today)",6341,4.4,4.2,528,900,Good,6869,30224.6,Medium
86,87,Daddy,"Continental, North Indian, Asian, Italian, Chinese, European, Bar Food, Beverages",1700,Continental," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/daddy-indiranagar-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",8318,4.3,4.2,143,850,Good,8461,36383.3,Medium
